seed,fold,valid_rows,valid_score_mean,valid_score_std
252,1,499,2.4499201702233844,0.5654512670496266
252,2,499,2.4304963569247775,0.5545394468704798
252,3,499,2.4214286679281436,0.5423355986596574
252,4,499,2.4566389230819983,0.5649051045072321
252,5,498,2.473284423475796,0.5692081382880729
253,1,499,2.4591535899011454,0.5375366082869569
253,2,499,2.47836989349981,0.586585975467812
253,3,499,2.432041444527025,0.5550804403831499
253,4,499,2.428157355844972,0.5590702599493391
253,5,498,2.4225604813587873,0.5536076373233902
254,1,499,2.427101724230097,0.5486159238533396
254,2,499,2.4321172332077694,0.5589610812859138
254,3,499,2.4569883499968093,0.5948903157782328
254,4,499,2.428667753673631,0.5614989869389388
254,5,498,2.475936214152955,0.534543251189937
255,1,499,2.4280355497753527,0.5359014230787897
255,2,499,2.4949885551631237,0.59658613909222
255,3,499,2.4342292135243193,0.5671442802393147
255,4,499,2.461072310806592,0.5579179154127868
255,5,498,2.4259058330959156,0.541506707456153
256,1,499,2.483395105801411,0.5870027273330511
256,2,499,2.429691086816857,0.5408434682412598
256,3,499,2.4419691128487613,0.5455334402641939
256,4,499,2.4554123099430503,0.5686938868233
256,5,498,2.418198985214174,0.5579272283568404
