name,kind,weight,threshold_lambda,oof_qwk,oof_lift_vs_step25,test_l1,pub_dist,pri_dist,changed,improved,worsened,mean_delta_abs_error,risky_promotions,core_demotions,public_changed,private_changed,thresholds
step25_openalex_anchor_blend_w0p0200_l4p0,label_blend,0.02,4.0,0.6607844298640067,-0.00047612851522627064,0.17910905636615124,"{1: 124, 2: 64, 3: 53, 4: 35, 5: 22}","{1: 138, 2: 66, 3: 41, 4: 30, 5: 23}",59,29,30,-0.01694915254237288,0,4,10,13,"1.913631,2.539114,3.250912,4.073761"
step25_openalex_anchor_resid_w0p0200_l4p0,residual_blend,0.02,4.0,0.6607844298640067,-0.00047612851522627064,0.17910905636615124,"{1: 124, 2: 64, 3: 53, 4: 35, 5: 22}","{1: 138, 2: 66, 3: 41, 4: 30, 5: 23}",59,29,30,-0.01694915254237288,0,4,10,13,"1.913631,2.539114,3.250912,4.073761"
step25_openalex_anchor_blend_w0p0300_l0p5,label_blend,0.03,0.5,0.6607517388962367,-0.0005088194829961923,0.1824647610641378,"{1: 124, 2: 64, 3: 56, 4: 32, 5: 22}","{1: 138, 2: 67, 3: 41, 4: 29, 5: 23}",62,31,31,0.0,0,1,13,15,"1.919396,2.538534,3.259517,4.069562"
step25_openalex_anchor_blend_w0p0300_l1p0,label_blend,0.03,1.0,0.6607350870972681,-0.0005254712819647844,0.1824647610641378,"{1: 124, 2: 64, 3: 56, 4: 32, 5: 22}","{1: 138, 2: 67, 3: 41, 4: 29, 5: 23}",62,30,32,-0.03225806451612903,0,1,13,15,"1.916736,2.538218,3.253333,4.088561"
step25_pairwise_e5_blend_w0p0300_l4p0,label_blend,0.03,4.0,0.6606044395328771,-0.0006561188463558576,0.18246476106413784,"{1: 126, 2: 62, 3: 53, 4: 35, 5: 22}","{1: 139, 2: 66, 3: 41, 4: 30, 5: 22}",58,28,30,-0.034482758620689655,1,9,8,15,"1.914015,2.535952,3.258347,4.099797"
step25_openalex_anchor_blend_w0p0100_l0p5,label_blend,0.01,0.5,0.6605819850388741,-0.0006785733403588123,0.16568623757420495,"{1: 124, 2: 61, 3: 54, 4: 37, 5: 22}","{1: 135, 2: 68, 3: 40, 4: 32, 5: 23}",36,13,23,-0.2777777777777778,0,3,7,7,"1.903705,2.524537,3.222593,4.075681"
step25_openalex_anchor_resid_w0p0100_l0p5,residual_blend,0.01,0.5,0.6605819850388741,-0.0006785733403588123,0.16568623757420495,"{1: 124, 2: 61, 3: 54, 4: 37, 5: 22}","{1: 135, 2: 68, 3: 40, 4: 32, 5: 23}",36,13,23,-0.2777777777777778,0,3,7,7,"1.903705,2.524537,3.222593,4.075681"
step25_openalex_anchor_blend_w0p0200_l2p0,label_blend,0.02,2.0,0.6605716684688714,-0.0006888899103615342,0.17910905636615124,"{1: 124, 2: 64, 3: 53, 4: 35, 5: 22}","{1: 138, 2: 66, 3: 41, 4: 30, 5: 23}",57,28,29,-0.017543859649122806,0,4,10,13,"1.913024,2.537562,3.250474,4.079399"
step25_openalex_anchor_resid_w0p0200_l2p0,residual_blend,0.02,2.0,0.6605716684688714,-0.0006888899103615342,0.17910905636615124,"{1: 124, 2: 64, 3: 53, 4: 35, 5: 22}","{1: 138, 2: 66, 3: 41, 4: 30, 5: 23}",57,28,29,-0.017543859649122806,0,4,10,13,"1.913024,2.537562,3.250474,4.079399"
step25_openalex_anchor_blend_w0p0075_l0p5,label_blend,0.0075,0.5,0.660455763390835,-0.0008047949883979166,0.18582046576212444,"{1: 126, 2: 63, 3: 52, 4: 35, 5: 22}","{1: 138, 2: 67, 3: 41, 4: 29, 5: 23}",64,30,34,-0.0625,0,8,9,13,"1.915562,2.543458,3.256540,4.077545"
step25_openalex_anchor_resid_w0p0075_l0p5,residual_blend,0.0075,0.5,0.660455763390835,-0.0008047949883979166,0.18582046576212444,"{1: 126, 2: 63, 3: 52, 4: 35, 5: 22}","{1: 138, 2: 67, 3: 41, 4: 29, 5: 23}",64,30,34,-0.0625,0,8,9,13,"1.915562,2.543458,3.256540,4.077545"
step25_openalex_anchor_blend_w0p0200_l0p5,label_blend,0.02,0.5,0.6603809338298077,-0.0008796245494252508,0.1791090563661512,"{1: 124, 2: 64, 3: 56, 4: 32, 5: 22}","{1: 138, 2: 66, 3: 43, 4: 28, 5: 23}",63,31,32,-0.015873015873015872,0,5,13,15,"1.911300,2.540345,3.269013,4.093029"
step25_openalex_anchor_resid_w0p0200_l0p5,residual_blend,0.02,0.5,0.6603809338298077,-0.0008796245494252508,0.1791090563661512,"{1: 124, 2: 64, 3: 56, 4: 32, 5: 22}","{1: 138, 2: 66, 3: 43, 4: 28, 5: 23}",63,31,32,-0.015873015873015872,0,5,13,15,"1.911300,2.540345,3.269013,4.093029"
