name,thresholds,oof_qwk,mae,adjacent_accuracy,macro_f1,label_distribution,combined_submission
ridge5x5_label4_more_mid,"2.138587370765,2.506551616073,2.810155795505,3.192222868509",0.5981511065273684,0.8528468323977546,0.7939053728949479,0.38435996423991403,"{1: np.int64(237), 2: np.int64(183), 3: np.int64(79), 4: np.int64(46), 5: np.int64(51)}",C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\ridge_threshold_variants\submissions\ridge5x5_label4_more_mid_submission.csv
ridge5x5_label4_less_small,"2.138587370765,2.506551616073,2.920155795505,3.112222868509",0.5973893709611082,0.8536487570168404,0.7939053728949479,0.3731622927237307,"{1: np.int64(237), 2: np.int64(183), 3: np.int64(99), 4: np.int64(18), 5: np.int64(59)}",C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\ridge_threshold_variants\submissions\ridge5x5_label4_less_small_submission.csv
ridge5x5_label4_more_small,"2.138587370765,2.506551616073,2.840155795505,3.182222868509",0.5970471378242115,0.8528468323977546,0.7927024859663192,0.3835839736707218,"{1: np.int64(237), 2: np.int64(183), 3: np.int64(85), 4: np.int64(39), 5: np.int64(52)}",C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\ridge_threshold_variants\submissions\ridge5x5_label4_more_small_submission.csv
ridge5x5_external_thresholds,"2.071333333333,2.441033735387,2.867333333333,3.132666666667",0.5959770041622011,0.8580593424218124,0.793504410585405,0.3787083039564613,"{1: np.int64(210), 2: np.int64(176), 3: np.int64(124), 4: np.int64(30), 5: np.int64(56)}",C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\ridge_threshold_variants\submissions\ridge5x5_external_thresholds_submission.csv
