keyword_group,venue,n_with,n_without,label_mean_with,label_mean_without,label_mean_delta,share_label_5_with,share_label_1_with
ai_symbolic,cav,68,589,3.5,1.9609507640067911,1.5390492359932089,0.29411764705882354,0.1323529411764706
ai_symbolic,lpnmr,9,107,4.444444444444445,3.02803738317757,1.4164070612668747,0.5555555555555556,0.0
ai_symbolic,kr,53,608,3.6226415094339623,2.651315789473684,0.9713257199602783,0.41509433962264153,0.1509433962264151
ai_symbolic,lics,13,591,2.8461538461538463,1.9170896785109983,0.9290641676428479,0.3076923076923077,0.23076923076923078
ai_symbolic,iclp,56,400,3.607142857142857,2.85,0.7571428571428571,0.4107142857142857,0.125
asp_core,iclp,141,315,3.900709219858156,2.5142857142857142,1.3864235055724419,0.41843971631205673,0.04964539007092199
asp_core,lpnmr,47,69,3.9574468085106385,2.579710144927536,1.3777366635831023,0.2765957446808511,0.0425531914893617
asp_core,kr,39,622,3.923076923076923,2.6543408360128615,1.2687360870640614,0.46153846153846156,0.05128205128205128
asp_ecosystem,lpnmr,10,106,4.1,3.047169811320755,1.0528301886792448,0.4,0.0
asp_ecosystem,iclp,16,440,3.6875,2.915909090909091,0.771590909090909,0.4375,0.125
asp_ecosystem,kr,10,651,3.1,2.7235023041474653,0.3764976958525348,0.2,0.1
logic_neighbour,kr,130,531,2.7846153846153845,2.7156308851224105,0.06898449949297403,0.06153846153846154,0.2076923076923077
logic_neighbour,lics,2,602,2.0,1.93687707641196,0.06312292358803995,0.0,0.0
logic_neighbour,iclp,73,383,2.73972602739726,2.9817232375979112,-0.24199721020065112,0.1095890410958904,0.2191780821917808
logic_neighbour,lpnmr,26,90,2.6153846153846154,3.2888888888888888,-0.6735042735042733,0.11538461538461539,0.34615384615384615
logic_neighbour,cav,3,654,1.3333333333333333,2.123853211009174,-0.7905198776758409,0.0,0.6666666666666666
low_signal_title,lics,8,596,1.625,1.941275167785235,-0.3162751677852349,0.0,0.625
low_signal_title,cav,30,627,1.0333333333333334,2.172248803827751,-1.1389154704944178,0.0,0.9666666666666667
low_signal_title,kr,18,643,1.6111111111111112,2.76049766718507,-1.1493865560739587,0.0,0.6666666666666666
low_signal_title,iclp,25,431,1.68,3.0162412993039442,-1.3362412993039443,0.04,0.68
low_signal_title,lpnmr,6,110,1.0,3.2545454545454544,-2.2545454545454544,0.0,1.0
