seed,fold,valid_rows,valid_score_mean,valid_score_std
252,1,250,2.5075122782775754,0.658285158137895
252,2,250,2.391124506656277,0.6503866719575541
252,3,250,2.441568150606285,0.6341831633689631
252,4,250,2.4285657337528974,0.6363256980089491
252,5,249,2.3912712250315664,0.6259079133093622
252,6,249,2.450993165864176,0.6388547601377529
252,7,249,2.459432923154201,0.6812470827433738
252,8,249,2.4632386783219116,0.6453420223038051
252,9,249,2.4330127327774114,0.6436077731037395
252,10,249,2.5294863796008538,0.6607972689799513
253,1,250,2.4732460978252293,0.6836196010735113
253,2,250,2.429603727210102,0.5916994468989696
253,3,250,2.432590564055239,0.6277176334924763
253,4,250,2.5250500821569957,0.7003031880679663
253,5,249,2.428836694458711,0.6463124436044357
253,6,249,2.4523511943966056,0.6571250877007395
253,7,249,2.447699387294557,0.6428966141099404
253,8,249,2.3985246797965756,0.6355288541116677
253,9,249,2.4075672399821526,0.6705457929904406
253,10,249,2.4429843149984505,0.6203269913556004
254,1,250,2.457636025509218,0.6497672484975647
254,2,250,2.3875551783249573,0.6176176965744544
254,3,250,2.4336172000297434,0.6427541985392543
254,4,250,2.4284831239072,0.6513606747632085
254,5,249,2.4206797871410304,0.672585609312059
254,6,249,2.4985118660546015,0.7080645976153742
254,7,249,2.4254867911905396,0.6336286412813574
254,8,249,2.423166929489415,0.6621575257715718
254,9,249,2.466372476731974,0.6022139610178043
254,10,249,2.4774232826646414,0.6443288310909348
255,1,250,2.420079392035811,0.6527797673917209
255,2,250,2.4516195866685107,0.5948026665498942
255,3,250,2.4943764242330326,0.7164794605495692
255,4,250,2.496030608163853,0.6504159914891424
255,5,249,2.4390612161228975,0.6582334932265899
255,6,249,2.430127829664262,0.676715762067059
255,7,249,2.4700772680713725,0.6575374846324772
255,8,249,2.437268861405584,0.626758791340744
255,9,249,2.4188885997716754,0.6370097675351751
255,10,249,2.4342003088846496,0.6323838998138982
256,1,250,2.490756084947686,0.6424007187805567
256,2,250,2.4749936161114867,0.6937876816765872
256,3,250,2.4438220242396405,0.6573446803701487
256,4,250,2.4254424224166122,0.6151813461301601
256,5,249,2.4362774707279415,0.6347017216334606
256,6,249,2.4519014451446037,0.6510280846041805
256,7,249,2.5058555683072945,0.6868933634698554
256,8,249,2.4119084103120825,0.6294442910459431
256,9,249,2.425338306212246,0.629395039430785
256,10,249,2.430273040655153,0.6684827005662027
257,1,250,2.4437323993035487,0.5789303464998048
257,2,250,2.417272565405067,0.6058121318906177
257,3,250,2.4648977930625424,0.6903512330500272
257,4,250,2.455019423293827,0.707906044770931
257,5,249,2.437845864651538,0.6429684323906582
257,6,249,2.490125209505527,0.6931380982802088
257,7,249,2.4723336398797033,0.6889233914803283
257,8,249,2.3835941511900494,0.6169528959551883
257,9,249,2.416031092000398,0.6053425142905627
257,10,249,2.453972488695952,0.610599194743691
258,1,250,2.4309274849524964,0.6024936078522163
258,2,250,2.4394711436789627,0.6162776143294916
258,3,250,2.4198904306455584,0.6287072789359903
258,4,250,2.440621311029549,0.6341218664108725
258,5,249,2.4712705034718865,0.6863570181795874
258,6,249,2.4649092360392983,0.7010671401107605
258,7,249,2.4581884366088618,0.6561013416233794
258,8,249,2.43075228767104,0.63817843126521
258,9,249,2.440335870782093,0.7339082455321395
258,10,249,2.4819804342702763,0.5970106701666393
259,1,250,2.4246299655932018,0.6356861965749512
259,2,250,2.413552398727755,0.6826606088663492
259,3,250,2.4382798697907684,0.6607827790201986
259,4,250,2.4849092771607184,0.6540333389414291
259,5,249,2.4292934871191765,0.6722547031803576
259,6,249,2.5199286155977902,0.6972549858159168
259,7,249,2.481483008540199,0.6503163815948122
259,8,249,2.417938208187561,0.5671024569875258
259,9,249,2.4248744678647522,0.6105622960328193
259,10,249,2.436026960544047,0.6477563683687496
260,1,250,2.473076747485394,0.6777902742765204
260,2,250,2.4741859463561933,0.6877170419642261
260,3,250,2.4488716552221756,0.6196923379879812
260,4,250,2.4086904587574645,0.6208661306942678
260,5,249,2.4196780788323453,0.6524581783900454
260,6,249,2.4721313889426644,0.6419894223531181
260,7,249,2.439930391172788,0.6732899950452799
260,8,249,2.419984851817531,0.6605576532196815
260,9,249,2.437960653721996,0.6133530291275303
260,10,249,2.4459384947293823,0.6635723584254652
261,1,250,2.434615909801729,0.6675932540955163
261,2,250,2.440017520620347,0.6143491612798516
261,3,250,2.481808192196259,0.6785036604563263
261,4,250,2.4681521010057588,0.6631944452535253
261,5,249,2.458491004286313,0.6694330149302646
261,6,249,2.443241805393185,0.6443152719852775
261,7,249,2.406213373625269,0.5970449099006254
261,8,249,2.4877298235616188,0.6880463840004681
261,9,249,2.4288844825004046,0.6522085321693356
261,10,249,2.4027161745912426,0.5980867625653373
