name,w_bge,w_scincl,w_specter,w_ridge,oof_qwk,oof_round_qwk,oof_mae,oof_l1,test_l1,thresholds,pub_dist,pri_dist,combined_dist
bge_0p35_scincl_0p35_specter_0p10_ridge_0p20,0.35,0.35,0.1,0.2,0.6565207662750769,0.6146985157905107,0.773055332798717,0.012028869286287075,0.16233053287621838,"1.942312,2.489197,3.125813,3.888314","{1: 120, 2: 66, 3: 54, 4: 36, 5: 22}","{1: 137, 2: 64, 3: 47, 4: 29, 5: 21}","{1: 257, 2: 130, 3: 101, 4: 65, 5: 43}"
bge_0p40_scincl_0p20_specter_0p20_ridge_0p20,0.4,0.2,0.2,0.2,0.6563720804549106,0.6137464322613326,0.773055332798717,0.01122694466720131,0.1723976469701781,"1.934885,2.487476,3.123052,3.892380","{1: 121, 2: 68, 3: 53, 4: 34, 5: 22}","{1: 138, 2: 63, 3: 44, 4: 30, 5: 23}","{1: 259, 2: 131, 3: 97, 4: 64, 5: 45}"
bge_0p35_scincl_0p20_specter_0p25_ridge_0p20,0.35,0.2,0.25,0.2,0.6562838480483242,0.6146501706752092,0.7722534081796311,0.010425020048115463,0.18246476106413786,"1.947494,2.512402,3.153969,3.934164","{1: 124, 2: 67, 3: 51, 4: 34, 5: 22}","{1: 140, 2: 62, 3: 45, 4: 30, 5: 21}","{1: 264, 2: 129, 3: 96, 4: 64, 5: 43}"
bge_0p35_scincl_0p30_specter_0p15_ridge_0p20,0.35,0.3,0.15,0.2,0.6561414608143519,0.6127503275237471,0.7750601443464314,0.012830793905372881,0.16904194227219152,"1.954849,2.493750,3.164820,3.907232","{1: 123, 2: 65, 3: 56, 4: 32, 5: 22}","{1: 140, 2: 61, 3: 47, 4: 29, 5: 21}","{1: 263, 2: 126, 3: 103, 4: 61, 5: 43}"
bge_0p40_scincl_0p25_specter_0p22_ridge_0p13,0.4,0.25,0.22,0.13,0.6559779469821718,0.6245694345570634,0.7726543704891741,0.016840417000801897,0.1690419422721915,"1.937516,2.484301,3.168568,3.963332","{1: 124, 2: 64, 3: 54, 4: 34, 5: 22}","{1: 139, 2: 62, 3: 45, 4: 30, 5: 22}","{1: 263, 2: 126, 3: 99, 4: 64, 5: 44}"
bge_0p30_scincl_0p35_specter_0p22_ridge_0p13,0.3,0.35,0.22,0.13,0.6559627409223711,0.6249800377814304,0.7750601443464314,0.007217321571772253,0.16904194227219152,"1.932892,2.505508,3.163900,3.970956","{1: 121, 2: 65, 3: 55, 4: 35, 5: 22}","{1: 140, 2: 63, 3: 42, 4: 32, 5: 21}","{1: 261, 2: 128, 3: 97, 4: 67, 5: 43}"
bge_0p40_scincl_0p30_specter_0p20_ridge_0p10,0.4,0.3,0.2,0.1,0.6559459456070985,0.62809369852871,0.7718524458700882,0.009623095429029657,0.1656862375742049,"1.925949,2.495156,3.170741,3.996862","{1: 122, 2: 66, 3: 53, 4: 36, 5: 21}","{1: 140, 2: 60, 3: 45, 4: 31, 5: 22}","{1: 262, 2: 126, 3: 98, 4: 67, 5: 43}"
bge_0p45_scincl_0p28_specter_0p18_ridge_0p09,0.45,0.28,0.18,0.09,0.6559375341514018,0.6268517681041098,0.7738572574178028,0.011226944667201269,0.16568623757420495,"1.918045,2.495716,3.163560,3.988175","{1: 122, 2: 66, 3: 52, 4: 37, 5: 21}","{1: 137, 2: 63, 3: 45, 4: 30, 5: 23}","{1: 259, 2: 129, 3: 97, 4: 67, 5: 44}"
bge_0p30_scincl_0p30_specter_0p20_ridge_0p20,0.3,0.3,0.2,0.2,0.6557466507024823,0.6119137014041256,0.7754611066559743,0.004811547714514808,0.17239764697017804,"1.945210,2.490507,3.131806,3.892455","{1: 122, 2: 65, 3: 55, 4: 34, 5: 22}","{1: 140, 2: 63, 3: 43, 4: 31, 5: 21}","{1: 262, 2: 128, 3: 98, 4: 65, 5: 43}"
bge_0p45_scincl_0p20_specter_0p15_ridge_0p20,0.45,0.2,0.15,0.2,0.6556653375989534,0.6154982914685907,0.7734562951082599,0.007217321571772267,0.17910905636615126,"1.941715,2.499031,3.133024,3.910488","{1: 122, 2: 69, 3: 51, 4: 34, 5: 22}","{1: 134, 2: 67, 3: 46, 4: 29, 5: 22}","{1: 256, 2: 136, 3: 97, 4: 63, 5: 44}"
bge_0p45_scincl_0p30_specter_0p05_ridge_0p20,0.45,0.3,0.05,0.2,0.6554587858763137,0.6155152611986777,0.7698476343223737,0.0016038492381716257,0.17575335166816464,"1.960238,2.503306,3.136421,3.907513","{1: 124, 2: 68, 3: 49, 4: 35, 5: 22}","{1: 137, 2: 62, 3: 50, 4: 27, 5: 22}","{1: 261, 2: 130, 3: 99, 4: 62, 5: 44}"
bge_0p35_scincl_0p32_specter_0p22_ridge_0p11,0.35,0.32,0.22,0.11,0.6553457259008972,0.6290589092248153,0.773055332798717,0.007217321571772253,0.16568623757420492,"1.913134,2.493791,3.171358,3.981294","{1: 119, 2: 68, 3: 55, 4: 34, 5: 22}","{1: 138, 2: 63, 3: 44, 4: 32, 5: 21}","{1: 257, 2: 131, 3: 99, 4: 66, 5: 43}"
bge_0p45_scincl_0p25_specter_0p10_ridge_0p20,0.45,0.25,0.1,0.2,0.6551898226915392,0.6136317552334456,0.7718524458700882,0.00641539695268642,0.1791090563661513,"1.948119,2.496889,3.129577,3.912130","{1: 122, 2: 69, 3: 51, 4: 34, 5: 22}","{1: 135, 2: 66, 3: 46, 4: 30, 5: 21}","{1: 257, 2: 135, 3: 97, 4: 64, 5: 43}"
bge_0p40_scincl_0p35_specter_0p18_ridge_0p07,0.4,0.35,0.18,0.07,0.655185776734719,0.632652541102342,0.7710505212510024,0.02004811547714512,0.17910905636615126,"1.939018,2.524705,3.224231,4.049459","{1: 127, 2: 64, 3: 54, 4: 32, 5: 21}","{1: 141, 2: 60, 3: 47, 4: 28, 5: 22}","{1: 268, 2: 124, 3: 101, 4: 60, 5: 43}"
bge_0p40_scincl_0p35_specter_0p05_ridge_0p20,0.4,0.35,0.05,0.2,0.6551818509880284,0.6139591960262535,0.7726543704891741,0.006415396952686461,0.1690419422721915,"1.956906,2.489325,3.127583,3.898081","{1: 125, 2: 64, 3: 51, 4: 36, 5: 22}","{1: 138, 2: 62, 3: 47, 4: 30, 5: 21}","{1: 263, 2: 126, 3: 98, 4: 66, 5: 43}"
bge_0p30_scincl_0p30_specter_0p30_ridge_0p10,0.3,0.3,0.3,0.1,0.6548347390771947,0.629830698699823,0.7750601443464314,0.005613472333600628,0.16233053287621835,"1.918635,2.492343,3.184560,3.997443","{1: 121, 2: 64, 3: 58, 4: 33, 5: 22}","{1: 138, 2: 64, 3: 42, 4: 33, 5: 21}","{1: 259, 2: 128, 3: 100, 4: 66, 5: 43}"
bge_0p00_scincl_0p60_specter_0p20_ridge_0p20,0.0,0.6,0.2,0.2,0.6412322175982934,0.6073844521024585,0.7919005613472334,0.003207698476343182,0.16233053287621838,"1.943955,2.487544,3.145143,3.901859","{1: 124, 2: 61, 3: 57, 4: 34, 5: 22}","{1: 140, 2: 62, 3: 42, 4: 33, 5: 21}","{1: 264, 2: 123, 3: 99, 4: 67, 5: 43}"
