candidate,oof_qwk,oof_mae,oof_macro_f1,thresholds,oof_l1_dist,test_combined_l1_dist,label_dist_combined,label_dist_public,label_dist_private,weights
blend_2anchor_70_specter,0.6464167906628514,0.7842822774659182,0.41524993569235835,"[1.9160707513543012, 2.457048127236664, 3.105063855199593, 3.8634695404488046]",0.016038492381716146,0.15226341878225863,"{1: 252, 2: 132, 3: 103, 4: 59, 5: 50}","{1: 118, 2: 66, 3: 57, 4: 30, 5: 27}","{1: 134, 2: 66, 3: 46, 4: 29, 5: 23}","[0.30000000000000004, 0.7]"
blend_3anchor_scincl_specter_ridge_50_20_30,0.6457307758164864,0.7878909382518043,0.40312248505044457,"[1.9655911782943654, 2.472710603051033, 3.073300435625204, 3.813836674149065]",0.008019246190858073,0.17239764697017812,"{1: 263, 2: 127, 3: 97, 4: 63, 5: 46}","{1: 123, 2: 62, 3: 57, 4: 33, 5: 23}","{1: 140, 2: 65, 3: 40, 4: 30, 5: 23}","{'scincl': 0.5, 'specter_3s': 0.2, 'ridge_5x5': 0.3}"
blend_3anchor_70_15_15,0.6456936476536479,0.7838813151563753,0.4167503112754063,"[1.891769242941303, 2.5126850881420135, 3.217994612683353, 3.990382651603695]",0.005613472333600683,0.17239764697017812,"{1: 259, 2: 131, 3: 96, 4: 62, 5: 48}","{1: 121, 2: 65, 3: 54, 4: 34, 5: 24}","{1: 138, 2: 66, 3: 42, 4: 28, 5: 24}","{'specter_3s': 0.7, 'ridge_5x5': 0.15, 'scibert': 0.15}"
blend_3anchor_scincl_specter_ridge_45_35_20,0.6455946636311256,0.7862870890136328,0.40547006058331975,"[1.9522485313600981, 2.4838663579892972, 3.1246235695183677, 3.9073145239710456]",0.015236567762630299,0.18861374681786627,"{1: 272, 2: 114, 3: 102, 4: 63, 5: 45}","{1: 129, 2: 56, 3: 57, 4: 33, 5: 23}","{1: 143, 2: 58, 3: 45, 4: 30, 5: 22}","{'scincl': 0.45, 'specter_3s': 0.35, 'ridge_5x5': 0.2}"
blend_3anchor_scincl_specter_ridge_40_40_20,0.6455172036177761,0.7870890136327185,0.4032210619118729,"[1.9332539851607793, 2.4847557098469997, 3.1460445592796025, 3.9217920711481957]",0.008019246190858045,0.1723976469701781,"{1: 266, 2: 124, 3: 99, 4: 62, 5: 45}","{1: 125, 2: 62, 3: 56, 4: 32, 5: 23}","{1: 141, 2: 62, 3: 43, 4: 30, 5: 22}","{'scincl': 0.4, 'specter_3s': 0.4, 'ridge_5x5': 0.2}"
blend_3anchor_60_20_20,0.6448108534343271,0.7826784282277466,0.41705289862338135,"[1.9140690487259073, 2.4980771820925964, 3.1980768156085495, 3.9708122878143177]",0.00641539695268642,0.16233053287621835,"{1: 256, 2: 131, 3: 103, 4: 58, 5: 48}","{1: 120, 2: 63, 3: 58, 4: 33, 5: 24}","{1: 136, 2: 68, 3: 45, 4: 25, 5: 24}","{'specter_3s': 0.6, 'ridge_5x5': 0.2, 'scibert': 0.2}"
blend_specter_scibert_70_30,0.6447582486267047,0.7842822774659182,0.41260393852036775,"[1.8747319591032134, 2.5607707375895346, 3.3348052585700527, 4.182887011423355]",0.007217321571772239,0.17575335166816466,"{1: 261, 2: 130, 3: 100, 4: 62, 5: 43}","{1: 119, 2: 65, 3: 60, 4: 31, 5: 23}","{1: 142, 2: 65, 3: 40, 4: 31, 5: 20}","{'specter_3s': 0.7, 'scibert': 0.30000000000000004}"
blend_2anchor_50_50,0.644547281174491,0.7842822774659182,0.41738523076445755,"[1.9933009152980905, 2.4686807285237284, 3.009674378783781, 3.6779346836923503]",0.010425020048115491,0.1858204657621244,"{1: 254, 2: 140, 3: 98, 4: 52, 5: 52}","{1: 120, 2: 69, 3: 55, 4: 27, 5: 27}","{1: 134, 2: 71, 3: 43, 4: 25, 5: 25}","[0.5, 0.5]"
blend_2anchor_80_specter,0.644255266504742,0.7878909382518043,0.4089720230526234,"[1.8944983574912482, 2.496390463188761, 3.183857512390818, 3.9809583894570553]",0.004811547714514822,0.16568623757420492,"{1: 258, 2: 130, 3: 99, 4: 60, 5: 49}","{1: 121, 2: 64, 3: 57, 4: 32, 5: 24}","{1: 137, 2: 66, 3: 42, 4: 28, 5: 25}","[0.19999999999999996, 0.8]"
biased_specter3s_50_avg_other,0.6442162582678699,0.7898957497995188,0.4082979058612376,"[1.8575880105120406, 2.480689236360227, 3.1781184250647967, 3.9961267931067233]",0.005613472333600628,0.19253187515809755,"{1: 259, 2: 137, 3: 93, 4: 63, 5: 44}","{1: 121, 2: 69, 3: 53, 4: 32, 5: 23}","{1: 138, 2: 68, 3: 40, 4: 31, 5: 21}","[0.5, 0.5]"
