doi_norm,openalex_found,openalex_error,openalex_id,openalex_title,openalex_year,cited_by_count,referenced_works_count,fwci,is_retracted
10.4204/eptcs.306.30,True,,https://openalex.org/W2973930420,Google vs IBM: A Constraint Solving Challenge on the Job-Shop Scheduling Problem,2019.0,24.0,14.0,1.6725,False
10.4204/eptcs.306.31,True,,https://openalex.org/W2973953699,A Rule-Based System for Explainable Donor-Patient Matching in Liver Transplantation,2019.0,1.0,10.0,0.0,False
10.4204/eptcs.306.32,True,,https://openalex.org/W2973251466,BigData Applications from Graph Analytics to Machine Learning by Aggregates in Recursion,2019.0,9.0,21.0,1.4867,False
10.4204/eptcs.306.33,True,,https://openalex.org/W2974599917,Natural Language Generation for Non-Expert Users,2019.0,0.0,37.0,0.0,False
10.4204/eptcs.306.34,True,,https://openalex.org/W2974737910,An ASP-based Approach for Attractor Enumeration in Synchronous and Asynchronous Boolean Networks,2019.0,3.0,9.0,0.1709,False
10.4204/eptcs.306.35,True,,https://openalex.org/W2973494521,Encoding Selection for Solving Hamiltonian Cycle Problems with ASP,2019.0,4.0,19.0,0.3717,False
10.4204/eptcs.306.37,True,,https://openalex.org/W2964604382,An Implementation of a Non-monotonic Logic in an Embedded Computer for a Motor-glider,2019.0,0.0,14.0,0.0,False
10.4204/eptcs.306.39,True,,https://openalex.org/W2974904423,Towards Ethical Machines Via Logic Programming,2019.0,7.0,16.0,0.8711,False
10.4204/eptcs.306.40,True,,https://openalex.org/W2974733000,A Temporal Module for Logical Frameworks,2019.0,3.0,7.0,0.4355,False
10.4204/eptcs.306.41,True,,https://openalex.org/W2966596596,Solving a Flowshop Scheduling Problem with Answer Set Programming: Exploiting the Problem to Reduce the Number of Combinations,2019.0,2.0,11.0,0.2904,False
10.4204/eptcs.306.50,True,,https://openalex.org/W2974340004,Reasoning about Qualitative Direction and Distance between Extended Objects using Answer Set Programming,2019.0,0.0,38.0,0.0,False
10.4204/eptcs.306.51,True,,https://openalex.org/W2973899447,Induction of Non-monotonic Logic Programs To Explain Statistical Learning Models,2019.0,0.0,15.0,0.0,False
10.4204/eptcs.306.53,True,,https://openalex.org/W2973435145,Conversational AI : Open Domain Question Answering and Commonsense Reasoning,2019.0,7.0,16.0,0.2904,False
10.4204/eptcs.306.54,True,,https://openalex.org/W2973921451,Design of a Solver for Multi-Agent Epistemic Planning,2019.0,2.0,29.0,0.1452,False
10.4204/eptcs.306.55,True,,https://openalex.org/W2974503183,Imperative Program Synthesis from Answer Set Programs,2019.0,0.0,14.0,0.0,False
10.4204/eptcs.306.57,True,,https://openalex.org/W2973648715,Reasoning in Highly Reactive Environments,2019.0,1.0,32.0,0.0,False
10.4204/eptcs.306.58,True,,https://openalex.org/W2973371733,Experimenting with Constraint Programming on GPU,2019.0,0.0,18.0,0.0,False
10.4204/eptcs.306.59,True,,https://openalex.org/W2974416123,Research Report on Automatic Synthesis of Local Search Neighborhood Operators,2019.0,0.0,33.0,0.0,False
10.4204/eptcs.306.60,True,,https://openalex.org/W2973402405,Distributed Answer Set Coloring: Stable Models Computation via Graph Coloring,2019.0,0.0,19.0,0.0,False
10.4204/eptcs.306.61,True,,https://openalex.org/W2974748060,Memory Management in Resource-Bounded Agents,2019.0,0.0,7.0,0.0,False
10.4204/eptcs.306.8,True,,https://openalex.org/W2974293287,Prolog Coding Guidelines: Status and Tool Support,2019.0,1.0,24.0,0.3525,False
10.4204/eptcs.306.9,True,,https://openalex.org/W2973702636,Exploiting Partial Knowledge in Declarative Domain-Specific Heuristics for ASP,2019.0,2.0,54.0,0.1452,False
10.4204/eptcs.307.3,True,,https://openalex.org/W2981642253,"A Definitional Implementation of the Lax Logical Framework LLFP in Coq, for Supporting Fast and Loose Reasoning",2019.0,0.0,14.0,0.0,False
10.4204/eptcs.307.5,True,,https://openalex.org/W2981699879,Rapid Prototyping Formal Systems in MMT: 5 Case Studies,2019.0,7.0,35.0,0.7259,False
10.4204/eptcs.307.6,True,,https://openalex.org/W2981600573,A Weakly Initial Algebra for Higher-Order Abstract Syntax in Cedille,2019.0,0.0,37.0,0.0,False
10.4204/eptcs.325.10,True,,https://openalex.org/W3088418580,Variant-based Equational Unification under Constructor Symbols,2020.0,2.0,39.0,0.272,False
10.4204/eptcs.325.11,True,,https://openalex.org/W3089079470,Solving Gossip Problems using Answer Set Programming: An Epistemic Planning Approach,2020.0,1.0,11.0,0.137,False
10.4204/eptcs.325.12,True,,https://openalex.org/W3089031584,Justifications for Goal-Directed Constraint Answer Set Programming,2020.0,30.0,26.0,2.3106,False
10.4204/eptcs.325.13,True,,https://openalex.org/W3089025074,SQuARE: Semantics-based Question Answering and Reasoning Engine,2020.0,4.0,34.0,0.5486,False
10.4204/eptcs.325.17,True,,https://openalex.org/W3088884827,Automated Aggregator - Rewriting with the Counting Aggregate,2020.0,2.0,19.0,0.2718,False
10.4204/eptcs.325.18,True,,https://openalex.org/W3088664422,"Deriving Theorems in Implicational Linear Logic, Declaratively",2020.0,1.0,50.0,0.1371,False
10.4204/eptcs.325.19,True,,https://openalex.org/W3088333893,A System for Explainable Answer Set Programming,2020.0,23.0,16.0,2.1747,False
10.4204/eptcs.325.20,True,,https://openalex.org/W3088656722,Tabling Optimization for Contextual Abduction,2020.0,0.0,22.0,0.0,False
10.4204/eptcs.325.22,True,,https://openalex.org/W3087916853,Continuous Reasoning for Managing Next-Gen Distributed Applications,2020.0,9.0,25.0,1.1325,False
10.4204/eptcs.325.23,True,,https://openalex.org/W3088982927,Sequent-Type Calculi for Systems of Nonmonotonic Paraconsistent Logics,2020.0,5.0,31.0,0.5485,False
