candidate,seed,fold,valid_mean,valid_std
bge_title_ridge_a3,252,1,2.4757375717163086,1.011012077331543
bge_title_ridge_a3,252,2,2.4257850646972656,0.9717819690704346
bge_title_ridge_a3,252,3,2.4011759757995605,0.9260576367378235
bge_title_ridge_a3,252,4,2.502589225769043,0.9828941822052002
bge_title_ridge_a3,252,5,2.479018211364746,1.0066951513290405
bge_title_ridge_a3,253,1,2.4926609992980957,0.9592785835266113
bge_title_ridge_a3,253,2,2.4406464099884033,1.0042731761932373
bge_title_ridge_a3,253,3,2.5295326709747314,0.9579026103019714
bge_title_ridge_a3,253,4,2.4363369941711426,0.9766213297843933
bge_title_ridge_a3,253,5,2.452545404434204,1.0210000276565552
bge_title_ridge_a3,254,1,2.4680213928222656,0.9230706095695496
bge_title_ridge_a3,254,2,2.499918222427368,0.974200427532196
bge_title_ridge_a3,254,3,2.4333577156066895,1.0253483057022095
bge_title_ridge_a3,254,4,2.457738161087036,0.987699568271637
bge_title_ridge_a3,254,5,2.4867191314697266,0.9942643642425537
bge_title_ridge_a3,255,1,2.4492685794830322,0.9266859292984009
bge_title_ridge_a3,255,2,2.5026144981384277,1.0082557201385498
bge_title_ridge_a3,255,3,2.485288143157959,1.0104718208312988
bge_title_ridge_a3,255,4,2.4651196002960205,0.9897518157958984
bge_title_ridge_a3,255,5,2.39189076423645,0.941117525100708
bge_title_ridge_a3,256,1,2.4910807609558105,0.9403656721115112
bge_title_ridge_a3,256,2,2.465531587600708,0.9898614287376404
bge_title_ridge_a3,256,3,2.4546360969543457,0.982731282711029
bge_title_ridge_a3,256,4,2.4683547019958496,0.9787061810493469
bge_title_ridge_a3,256,5,2.3943076133728027,0.9896889925003052
bge_title_abs_ridge_a3,252,1,2.519547939300537,0.9801037907600403
bge_title_abs_ridge_a3,252,2,2.4244000911712646,0.9304028749465942
bge_title_abs_ridge_a3,252,3,2.3963258266448975,0.9330906271934509
bge_title_abs_ridge_a3,252,4,2.4548943042755127,0.9009235501289368
bge_title_abs_ridge_a3,252,5,2.4934017658233643,0.928773045539856
bge_title_abs_ridge_a3,253,1,2.4724137783050537,0.8704839944839478
bge_title_abs_ridge_a3,253,2,2.4967048168182373,0.9554246068000793
bge_title_abs_ridge_a3,253,3,2.5022261142730713,0.9910996556282043
bge_title_abs_ridge_a3,253,4,2.4019687175750732,0.8647107481956482
bge_title_abs_ridge_a3,253,5,2.3978264331817627,0.9680023193359375
bge_title_abs_ridge_a3,254,1,2.4176366329193115,0.9369931221008301
bge_title_abs_ridge_a3,254,2,2.455596685409546,0.8975719213485718
bge_title_abs_ridge_a3,254,3,2.4747352600097656,0.953113853931427
bge_title_abs_ridge_a3,254,4,2.4756975173950195,0.9343145489692688
bge_title_abs_ridge_a3,254,5,2.432076930999756,0.9495536088943481
